x,y,z
85.173,81.541,-0.001
85.271,81.52,-0.001
85.368,81.5,-0.001
85.467,81.479,-0.001
85.564,81.459,-0.001
85.663,81.445,-0.001
85.762,81.431,-0.001
85.861,81.416,-0.001
85.961,81.403,-0.001
86.059,81.388,-0.001
86.158,81.377,-0.001
86.257,81.367,-0.001
86.358,81.356,-0.001
86.457,81.345,-0.001
86.556,81.334,-0.001
86.656,81.324,-0.001
86.755,81.315,-0.001
86.855,81.306,-0.001
86.954,81.296,-0.001
87.053,81.286,-0.001
87.154,81.278,-0.001
87.253,81.27,-0.001
87.353,81.261,-0.001
87.452,81.253,-0.001
87.552,81.244,-0.001
87.652,81.236,-0.001
87.751,81.228,-0.001
87.851,81.22,-0.001
87.95,81.212,-0.001
88.051,81.204,-0.001
88.151,81.204,-0.001
88.251,81.204,-0.001
88.351,81.204,-0.001
88.451,81.204,-0.001
88.551,81.204,-0.001
88.651,81.209,-0.001
88.751,81.212,-0.001
88.85,81.217,-0.001
88.95,81.22,-0.001
89.05,81.224,-0.001
89.149,81.231,-0.001
89.249,81.236,-0.001
89.349,81.242,-0.001
89.449,81.248,-0.001
89.549,81.254,-0.001
89.649,81.26,-0.001
89.748,81.268,-0.001
89.848,81.275,-0.001
89.948,81.281,-0.001
90.048,81.289,-0.001
90.147,81.303,-0.001
90.245,81.318,-0.001
90.344,81.334,-0.001
90.444,81.348,-0.001
90.542,81.363,-0.001
90.64,81.382,-0.001
90.739,81.4,-0.001
90.837,81.419,-0.001
90.935,81.438,-0.001
91.033,81.457,-0.001
91.131,81.477,-0.001
91.229,81.498,-0.001
91.327,81.519,-0.001
91.424,81.539,-0.001
91.522,81.56,-0.001
91.62,81.582,-0.001
91.718,81.603,-0.001
91.815,81.625,-0.001
91.913,81.647,-0.001
92.01,81.669,-0.001
92.108,81.691,-0.001
92.205,81.713,-0.001
92.303,81.735,-0.001
92.4,81.757,-0.001
92.498,81.779,-0.001
92.593,81.812,-0.001
92.687,81.843,-0.001
92.783,81.874,-0.001
92.877,81.906,-0.001
92.972,81.938,-0.001
93.065,81.975,-0.001
93.159,82.011,-0.001
93.252,82.047,-0.001
93.344,82.084,-0.001
93.437,82.121,-0.001
93.529,82.16,-0.001
93.621,82.198,-0.001
93.714,82.237,-0.001
93.807,82.275,-0.001
93.899,82.315,-0.001
93.99,82.355,-0.001
94.082,82.394,-0.001
94.174,82.434,-0.001
94.265,82.474,-0.001
94.357,82.513,-0.001
94.448,82.555,-0.001
94.54,82.595,-0.001
94.631,82.635,-0.001
94.722,82.676,-0.001
94.814,82.716,-0.001
94.905,82.756,-0.001
94.996,82.797,-0.001
95.089,82.838,-0.001
95.18,82.879,-0.001
95.271,82.919,-0.001
95.363,82.96,-0.001
95.454,83.0,-0.001
95.545,83.041,-0.001
95.636,83.083,-0.001
95.727,83.124,-0.001
95.815,83.172,-0.001
95.902,83.22,-0.001
95.99,83.269,-0.001
96.077,83.317,-0.001
96.164,83.366,-0.001
96.25,83.418,-0.001
96.335,83.47,-0.001
96.421,83.522,-0.001
96.506,83.574,-0.001
96.591,83.626,-0.001
96.676,83.68,-0.001
96.76,83.734,-0.001
96.845,83.788,-0.001
96.928,83.842,-0.001
97.012,83.895,-0.001
97.096,83.95,-0.001
97.179,84.005,-0.001
97.263,84.06,-0.001
97.347,84.115,-0.001
97.431,84.17,-0.001
97.514,84.225,-0.001
97.598,84.28,-0.001
97.681,84.335,-0.001
97.765,84.39,-0.001
97.848,84.445,-0.001
97.932,84.499,-0.001
98.014,84.556,-0.001
98.093,84.617,-0.001
98.173,84.678,-0.001
98.252,84.738,-0.001
98.332,84.798,-0.001
98.412,84.859,-0.001
98.491,84.92,-0.001
98.571,84.98,-0.001
98.65,85.041,-0.001
98.73,85.102,-0.001
98.81,85.163,-0.001
98.889,85.223,-0.001
98.969,85.283,-0.001
99.048,85.344,-0.001
99.127,85.405,-0.001
99.204,85.468,-0.001
99.278,85.536,-0.001
99.351,85.603,-0.001
99.425,85.672,-0.001
99.498,85.74,-0.001
99.572,85.808,-0.001
99.645,85.875,-0.001
99.718,85.943,-0.001
99.792,86.011,-0.001
99.865,86.08,-0.001
99.937,86.149,-0.001
100.006,86.222,-0.001
100.074,86.295,-0.001
100.142,86.367,-0.001
100.212,86.44,-0.001
100.28,86.513,-0.001
100.348,86.585,-0.001
100.417,86.658,-0.001
100.486,86.73,-0.001
100.554,86.804,-0.001
100.622,86.878,-0.001
100.686,86.954,-0.001
100.75,87.031,-0.001
100.815,87.107,-0.001
100.879,87.184,-0.001
100.944,87.26,-0.001
101.006,87.339,-0.001
101.068,87.417,-0.001
101.13,87.495,-0.001
101.192,87.573,-0.001
101.254,87.652,-0.001
101.316,87.731,-0.001
101.377,87.81,-0.001
101.438,87.889,-0.001
101.499,87.968,-0.001
101.559,88.048,-0.001
101.616,88.13,-0.001
101.673,88.212,-0.001
101.731,88.294,-0.001
101.789,88.375,-0.001
